,name,id,popularity,genres,followers,image_url
2431,Young Sen,5iXwYkqOSaS50AvdzKNL5L,0,None,64,https://i.scdn.co/image/ab6761610000e5eb082f29bab1f9e3ddb7e95804
2432,Xico Doido,1m1Wuoxvq0h8uL2sN3SwPf,0,None,161,https://i.scdn.co/image/ab67616d0000b27306f1b8c2a732fa20734aaf70
2433,Личное Мнение,389S2NdRMQi2f1iyq3Ge0k,0,None,43,
2434,Insane B,79ySWxg7wd5fBPVtyJHdD8,0,None,71,https://i.scdn.co/image/ab6761610000e5eb2643ffacaf4c2e35497d01b1
2435,Bruno BO,71UJA40dRueeT4eJKlbKob,0,None,224,https://i.scdn.co/image/ab6761610000e5eb05a88dc34dd4565432c7ea2b
2436,7Days,0yugi6Yabm61lMfpe0zB9t,0,None,84,https://i.scdn.co/image/ab67616d0000b273679574a7f26a70439eda02fc
2437,młody picasso,3aI7VycXTTiDsEvge2aHnu,1,None,184,https://i.scdn.co/image/ab6761610000e5ebeb867519893482cb145065e6
2438,Mole,5q6i8pgGAanEpaPyVL6W1r,0,None,649,https://i.scdn.co/image/ab6761610000e5ebae06780ead528f8d346877c1
2439,Mojri,3NE93Nfk41bqjDqd2amOTl,0,None,26,https://i.scdn.co/image/ab6761610000e5eb96c9143f4f4804d9e44ec2f4
2440,Mapinduzi Marifa,1jpYq3wC6Nd4erZv07i07u,0,None,2,https://i.scdn.co/image/ab67616d0000b273c6624b7228e3459eb8afaa1d
2441,NonameDisciple,2LKFnP2t11FFh8K3qoAnEi,0,None,117,
2442,Soñaflow Music,0r2L6PyeAS4ZA7L3YWEyoH,0,None,13,https://i.scdn.co/image/ab6761610000e5eb77bfd6a17ca32c545b6995e9
2443,121Krew,1UcGACUtMS7ocA2nhfGTu7,0,None,64,
2444,Oguh,5Wawh7qrh5jwAw3c5GUwhG,0,None,54,https://i.scdn.co/image/ab6761610000e5ebabc5365ae72e59462c6ae0b6
2445,Connor Ray,72SfvSlTfYiI6yi9q1ZR87,0,None,37,https://i.scdn.co/image/ab6761610000e5eb46e3a5d33a43138b250e37e8
2446,Lé Jitt,0oEaxXXCOQOJ7AdKWRQN7l,0,None,223,https://i.scdn.co/image/ab6761610000e5ebe135052d83d0110bb9acf289
2447,Spock X Lezser,3cX4t7naopbZIWnbPvOLGR,0,None,3,https://i.scdn.co/image/ab67616d0000b2736d6ea9a2b420349c124c9154
2448,Neovaldo Paulo,7qXUwXwFZpEgF0xpSCuVGq,0,None,177,https://i.scdn.co/image/ab67616d0000b27360b8fbca8635f4c4f5a5dc4d
2449,Guilherme Marley,5cQn1uGL2CfkW4bZcqj8Oj,1,None,22,https://i.scdn.co/image/ab67616d0000b27374996dc58afbeedba7704142
2450,Deadey,5Rs0KOk7z1G43Xux2C9CaO,0,None,474,https://i.scdn.co/image/ab6761610000e5eb3e7a57b369f41527ae00cf0e
2451,Papa Kiko and Maria Elena Hotus,3sKd5pqs33tLv1lCtYS15n,1,traditional music,81,
2452,LéoDaXIII,3PUiiPXw7scGX250IaOqju,0,None,62,https://i.scdn.co/image/ab6761610000e5eb1d83734dc9f5ed7b38019ff1
2453,Mike Sicara,59dAuk4NETITZAJERFt0WM,0,None,124,https://i.scdn.co/image/ab6761610000e5ebfb28ba2428d18be13dac23f0
2454,O Magu,4pdBNDJBGGFVHkzMkqI7EF,0,None,12,https://i.scdn.co/image/ab67616d0000b273829159fb54d1c27c1b32e54a
2455,Buru Arin,5CC7eBQ5ArtBoVwBjLxEgG,1,None,191,https://i.scdn.co/image/ab67616d0000b27370c770d34f81a4354facb39b
2456,Wesley Voox,1sxcXGAxs9YCKdjXjBO8aY,0,None,15,https://i.scdn.co/image/ab6761610000e5ebd4b352c565518494f9e03643
2457,Ymg Shooter,6FFYBVWazDiXaxCvvYuNOP,0,None,190,https://i.scdn.co/image/ab6761610000e5ebf55248587d1406429c4a314a
2458,Storms,08ldpCSLvB8TYKAr1NoMeb,0,None,25902,https://i.scdn.co/image/ab6761610000e5eb74290261dc4cf6f4b7703bce
2459,Momorabza,3QiJkh2UpXNmKqL9xAQI9I,2,None,58,
